event_id,event_type,severity,duration_minutes,peak_hr,baseline_hr,hr_increase_pct,peak_score,llm_explanation
EVT_001,Transient HR Anomaly,Medium,5,57,62.45436507936508,-8.733360866664555,0.016776721257324323,"A transient heart rate anomaly occurred, lasting 5 minutes. Your heart rate was 57 bpm, 8.7% lower than your baseline of 62.5 bpm. This is unusual because your heart rate decreased instead of increasing. Possible explanations include relaxation, sleep, or a calm state. The significance is that it's a notable deviation from your normal heart rate pattern. It may indicate a period of reduced physical or mental stress. Further analysis is needed to understand the cause."
EVT_002,Transient HR Anomaly,Medium,5,57,62.45436507936508,-8.733360866664555,0.01727862988725315,"A transient heart rate anomaly occurred, lasting 5 minutes. Your heart rate dropped to 57 bpm, 8.7% below your baseline of 62.5 bpm. This is unusual because your heart rate decreased instead of increasing. Possible explanations include relaxation, sleep, or a calm state. The significance is that this event may indicate a change in your physical or emotional state. It's essential to consider lifestyle factors that may have contributed to this anomaly."
EVT_003,Transient HR Anomaly,Medium,5,67,62.45436507936508,7.278330209359209,0.014414811898862956,"A transient heart rate anomaly occurred, lasting 5 minutes. Your heart rate peaked at 67.0 bpm, 7.3% above your baseline of 62.5 bpm. This is unusual because your heart rate increased and stayed elevated for a short period. Possible explanations include physical activity, stress, or environmental factors. The significance is that this anomaly may indicate a response to a physical or emotional stimulus. It's essential to consider lifestyle factors that may have contributed to this event."
EVT_004,Transient HR Anomaly,Medium,15,57,62.45436507936508,-8.733360866664555,0.046401885679658306,"A transient heart rate anomaly occurred, lasting 15 minutes. Your heart rate dropped to 56.0 bpm, 8.7% below your baseline of 62.5 bpm. This is unusual because your heart rate decreased, whereas most anomalies involve increases. Possible explanations include relaxation, sleep, or a calm state. The significance of this event is that it may indicate a period of reduced physical or mental stress. It's essential to consider this event in the context of your overall activity and well-being."
EVT_005,Transient HR Anomaly,Medium,30,67,62.45436507936508,7.278330209359209,0.052457276920674256,"A 30-minute anomaly in heart rate (HR) was detected. Your HR increased by 7.3% above its normal level, peaking at 67 bpm. This is unusual because your typical HR is 62.5 bpm. Possible reasons include physical activity, stress, or environmental factors. The increase may be due to your body responding to a stimulus, such as exercise or a change in surroundings. The significance of this event is that it indicates a temporary deviation from your normal heart rate pattern. It's essential to consider lifestyle factors that may have contributed to this anomaly."
EVT_006,Transient HR Anomaly,Medium,10,68,62.45436507936508,8.879499316961585,0.012559508004861275,"A transient heart rate anomaly occurred, lasting 10 minutes. Your heart rate peaked at 68.0 bpm, 8.9% above your baseline of 62.5 bpm. This is unusual because your heart rate increased and stayed elevated for a short period. Possible explanations include physical activity, stress, or emotional responses. The significance is that this anomaly may indicate a response to a physical or emotional stimulus. It's essential to consider lifestyle factors that may have contributed to this event. Monitoring and tracking such events can help identify patterns and correlations with daily activities."
EVT_007,Transient HR Anomaly,Medium,10,53,62.45436507936508,-15.138037297074058,0.028549559737402808,"A transient heart rate anomaly occurred, lasting 10 minutes. Your heart rate dropped to 52.5 bpm, 15.1% below your baseline of 62.5 bpm. This is unusual because your heart rate decreased instead of increasing. Possible explanations include relaxation, sleep, or a calm state. The significance is that this event may indicate a change in your physical or emotional state. It's essential to consider lifestyle factors that may have contributed to this anomaly."
EVT_008,Transient HR Anomaly,Medium,40,69,62.45436507936508,10.480668424563962,0.043555903925830086,"Your heart rate increased by 10.5% above its normal level for 40 minutes. 
This is unusual because your typical heart rate is 62.5 bpm, but it rose to 66.9 bpm.
Possible reasons include physical activity, stress, or environmental factors.
This event is significant as it indicates a deviation from your normal heart rate pattern.
It may be worth considering what you were doing during this time to understand the cause of the increase."
EVT_009,Elevated HR Episode,Critical,155,85,62.45436507936508,36.09937414620198,0.13343551842603618,"An Elevated HR Episode (EVT_009) occurred, lasting 155 minutes. Your heart rate (HR) increased to a peak of 85.0 bpm, with a mean of 81.0 bpm. This is unusual because it's 36.1% above your baseline HR of 62.5 bpm. Possible reasons include intense physical activity, stress, or environmental factors. The significance of this event is that it indicates a sustained increase in physiological exertion. It may be worth reviewing your activities during this time to understand what might have caused the increase. This information can help you better understand your body's responses and make informed decisions about your well-being."
EVT_010,Persistent HR Elevation,High,130,73,62.45436507936508,16.885344854973468,0.11291534231002698,"Your heart rate was higher than usual for 130 minutes. It peaked at 73 bpm, which is 16.9% above your normal rate. This is unusual because your heart rate typically stays around 62.5 bpm. Possible reasons include physical activity, stress, or environmental factors. The significance of this event is that it may indicate a change in your physical or emotional state. It's essential to consider what you were doing during this time to understand what might have caused the increase. This information can help you make informed decisions about your daily activities and overall well-being."
